Datum,Warengruppe,Umsatz
2015-07-21,1,235.521745626084
2015-07-22,1,135.646465314187
2015-07-23,1,203.379009588676
2015-07-24,1,145.702100962081
2015-07-25,1,137.704574088133
2015-07-27,1,197.402819755985
2015-07-28,1,156.418118906904
2015-07-29,1,143.376311826128
2015-07-30,1,153.096453836587
2015-07-31,1,203.171400227274
2015-08-01,1,172.967237084666
2015-08-02,1,62.3261148487666
2015-08-03,1,177.589204840291
2015-08-04,1,149.77425777512
2015-08-05,1,149.766354596172
2015-08-06,1,154.164615434328
2015-08-07,1,155.349198970408
2015-08-08,1,153.051668656731
2015-08-10,1,156.974050365039
2015-08-11,1,121.766778595488
2015-08-12,1,164.386074921393
2015-08-13,1,141.452497312926
2015-08-14,1,103.602149847675
2015-08-15,1,115.773564384248
2015-08-17,1,167.362999247736
