ds,Niederschlag,Sonne_h,Temperatur_max,SoFe_SH,HeFe_SH,WiFe_SH,Kieler_Woche,karfreitag,ostermontag,himmelfahrt,pfingstmontag,tag_der_arbeit,einheitstag,heilig_abend,weihnachten,silvester,neujahr,day_before_irregular_holiday
2015-04-16,0,"6,3",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,0,"10,8","11,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,0,"12,1","12,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,0,"11,9","11,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,0,"13,9","16,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,0,"13,9","16,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,0,"10,8",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,0,"9,9","16,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,"0,1","7,4","17,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,"5,7",0,"15,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,"0,8",0,"11,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,0,"6,2",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,0,"9,4","12,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,"0,3","9,3","14,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,"1,4","3,4",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,0,"6,3","11,8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-05-02,0,"10,4","13,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,"7,7","9,7","16,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
